id;start;end;submodule;notes
r0001;2025-01-23 11:24:00;2025-01-23 15:24:00;1.1.1;abc
r0002;2025-01-23 11:24:00;2025-01-23 15:24:00;1.1.2;abc
r0003;2025-01-23 11:24:00;2025-01-23 15:24:00;1.2.1;abc
r0004;2025-01-23 11:24:00;2025-01-23 15:24:00;1.3.1;abc
r0005;2025-01-23 11:24:00;2025-01-23 15:24:00;1.3.2;abc
r0006;2025-01-23 11:24:00;2025-01-23 15:24:00;1.3.3;abc
r0007;2025-01-23 11:24:00;2025-01-23 15:24:00;1.4.1;abc
r0008;2025-01-23 11:24:00;2025-01-23 15:24:00;1.4.2;abc
r0009;2025-01-23 11:24:00;2025-01-23 15:24:00;1.5.1;abc
r0010;2025-01-23 11:24:00;2025-01-23 15:24:00;1.5.2;abc
r0011;2025-01-23 11:24:00;2025-01-23 15:24:00;1.5.3;abc
r0012;2025-01-23 11:24:00;2025-01-23 15:24:00;1.6.1;abc
r0013;2025-01-23 11:24:00;2025-01-23 15:24:00;1.6.2;abc
r0014;2025-01-23 11:24:00;2025-01-23 15:24:00;1.7.1;abc
r0015;2025-01-23 11:24:00;2025-01-23 15:24:00;1.8.1;abc
r0016;2025-01-23 11:24:00;2025-01-23 15:24:00;2.1.1;abc
r0017;2025-01-23 11:24:00;2025-01-23 15:24:00;2.2.1;abc
r0018;2025-01-23 11:24:00;2025-01-23 15:24:00;2.3.1;abc
r0019;2025-01-23 11:24:00;2025-01-23 15:24:00;3.1.1;abc
r0020;2025-01-23 11:24:00;2025-01-23 15:24:00;3.1.2;abc
